Campaign,Ad Group,Keyword,Match Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Description 1,Description 2,Path 1,Path 2,Final URL
SNIPER_GEO_IDF,Chantilly_60,"séminaire chantilly",Phrase,,,,,,,,,,
SNIPER_GEO_IDF,Chantilly_60,"séminaire oise",Phrase,,,,,,,,,,
SNIPER_GEO_IDF,Chantilly_60,"location château chantilly",Phrase,,,,,,,,,,
SNIPER_GEO_IDF,Chantilly_60,"séminaire entreprise chantilly",Phrase,,,,,,,,,,
SNIPER_GEO_IDF,Chantilly_60,"manoir séminaire oise",Phrase,,,,,,,,,,
SNIPER_GEO_IDF,Chantilly_60,"château séminaire 60",Phrase,,,,,,,,,,
SNIPER_GEO_IDF,Chantilly_60,"lieu séminaire chantilly",Phrase,,,,,,,,,,
SNIPER_GEO_IDF,Chantilly_60,[séminaire chantilly],Exact,,,,,,,,,,
SNIPER_GEO_IDF,Chantilly_60,[château séminaire oise],Exact,,,,,,,,,,
SNIPER_GEO_IDF,Chantilly_60,,,Manoir Anglo-Normand,Séminaire à Chantilly,Privatisation Totale,Devis Gratuit en 24h,280 Pers · 120 Chambres,Manoir d'exception à 35min de Paris. Spa 800m² et amphithéâtre privé. Clients CAC40.,Organisez votre CODIR dans un cadre confidentiel. Lieux vérifiés. Réponse sous 24h.,Seminaire,Chantilly,https://selectchateaux.com/chateaux/manoir-anglo-normand-chantilly
SNIPER_GEO_IDF,Chantilly_60,,,Séminaire Chantilly,Manoir 280 Personnes,Devis Express 24h,Spa & Amphithéâtre,Privatisation Exclusive,Accueillez jusqu'à 280 collaborateurs dans un manoir anglo-normand d'exception.,120 chambres premium. Restauration gastronomique. Équipe dédiée à votre événement.,Chateau,Oise-60,https://selectchateaux.com/chateaux/manoir-anglo-normand-chantilly
SNIPER_GEO_IDF,Chantilly_60,,,Château Oise · Séminaire,35min de Paris,Clients du CAC40,Lieux Vérifiés,Conciergerie Dédiée,Domaine privatisable de 120 chambres. Architecture majestueuse en forêt privée.,Séminaire résidentiel haut de gamme. Devis personnalisé gratuit sous 24 heures.,Manoir,Chantilly,https://selectchateaux.com/chateaux/manoir-anglo-normand-chantilly
SNIPER_GEO_IDF,Chevreuse_78,"séminaire vallée chevreuse",Phrase,,,,,,,,,,
SNIPER_GEO_IDF,Chevreuse_78,"séminaire yvelines",Phrase,,,,,,,,,,
SNIPER_GEO_IDF,Chevreuse_78,"abbaye séminaire",Phrase,,,,,,,,,,
SNIPER_GEO_IDF,Chevreuse_78,"château séminaire 78",Phrase,,,,,,,,,,
SNIPER_GEO_IDF,Chevreuse_78,"location abbaye entreprise",Phrase,,,,,,,,,,
SNIPER_GEO_IDF,Chevreuse_78,"lieu séminaire yvelines",Phrase,,,,,,,,,,
SNIPER_GEO_IDF,Chevreuse_78,"séminaire entreprise 78",Phrase,,,,,,,,,,
SNIPER_GEO_IDF,Chevreuse_78,[séminaire vallée chevreuse],Exact,,,,,,,,,,
SNIPER_GEO_IDF,Chevreuse_78,[abbaye séminaire entreprise],Exact,,,,,,,,,,
SNIPER_GEO_IDF,Chevreuse_78,,,Abbaye XIIe · Séminaire,Vallée de Chevreuse,Privatisation Totale,Devis Gratuit 24h,147 Chambres · Étang,Abbaye cistercienne monumentale classée MH. Étang privé 70 ha. Effet Wow garanti.,Déconnexion totale pour vos équipes. Salles voûtées uniques. Clients prestigieux.,Abbaye,Chevreuse,https://selectchateaux.com/chateaux/abbaye-millenaire-vallee-chevreuse
SNIPER_GEO_IDF,Chevreuse_78,,,Séminaire Yvelines 78,Abbaye Monumentale,Lieux Vérifiés,Cadre Exceptionnel,Étang Privé 70 Ha,Site classé Monument Historique. 147 chambres. Idéal séminaire résidentiel premium.,Ruines romantiques et salles voûtées. Un lieu unique pour marquer les esprits.,Seminaire,Yvelines,https://selectchateaux.com/chateaux/abbaye-millenaire-vallee-chevreuse
SNIPER_GEO_IDF,Chevreuse_78,,,Abbaye Chevreuse,150 Pers · Exclusivité,Clients du CAC40,Devis Express,Monument Historique,Organisez un séminaire d'exception dans une abbaye du XIIe siècle privatisée.,Domaine de 70 hectares avec étang. Réponse personnalisée sous 24 heures.,Chateau,78,https://selectchateaux.com/chateaux/abbaye-millenaire-vallee-chevreuse
SNIPER_GEO_IDF,Paris_92,"séminaire hauts-de-seine",Phrase,,,,,,,,,,
SNIPER_GEO_IDF,Paris_92,"séminaire 92",Phrase,,,,,,,,,,
SNIPER_GEO_IDF,Paris_92,"château séminaire paris",Phrase,,,,,,,,,,
SNIPER_GEO_IDF,Paris_92,"séminaire proche paris",Phrase,,,,,,,,,,
SNIPER_GEO_IDF,Paris_92,"lieu séminaire accessible métro",Phrase,,,,,,,,,,
SNIPER_GEO_IDF,Paris_92,"hôtel séminaire 92",Phrase,,,,,,,,,,
SNIPER_GEO_IDF,Paris_92,"séminaire entreprise paris ouest",Phrase,,,,,,,,,,
SNIPER_GEO_IDF,Paris_92,[séminaire hauts-de-seine],Exact,,,,,,,,,,
SNIPER_GEO_IDF,Paris_92,[château séminaire métro paris],Exact,,,,,,,,,,
SNIPER_GEO_IDF,Paris_92,,,Hôtel 5★ · Séminaire 92,Accessible Métro,Privatisation Totale,Devis Gratuit 24h,Monument Historique,Bâtisse XVIIe aux portes de Paris. Seul château accessible en métro. Chef étoilé.,CODIR et événements confidentiels. Jardin suspendu avec vue Paris. Lieux vérifiés.,Seminaire,Paris-92,https://selectchateaux.com/chateaux/hotel-historique-seminaire-paris-92
SNIPER_GEO_IDF,Paris_92,,,Séminaire Paris · Métro,Hôtel Historique 5★,Clients du CAC40,83 Chambres Luxe,Jardin Suspendu,Domaine historique classé à 5min du métro. Idéal CODIR et séminaires stratégiques.,Gastronomie étoilée et spa privatisable. Réponse personnalisée sous 24 heures.,Chateau,92,https://selectchateaux.com/chateaux/hotel-historique-seminaire-paris-92
SNIPER_GEO_IDF,Paris_92,,,Château 92 · Séminaire,5min Métro Paris,Lieux Vérifiés,Devis Express,Privatisation Premium,180 personnes max. Monument Historique XVIIe siècle. Conciergerie événementielle.,Le seul domaine château accessible en métro. Confidentialité garantie. CAC40.,Hotel,Seminaire,https://selectchateaux.com/chateaux/hotel-historique-seminaire-paris-92
INTENTION_LUXE,Chateaux_General,"location château séminaire",Phrase,,,,,,,,,,
INTENTION_LUXE,Chateaux_General,"privatiser château entreprise",Phrase,,,,,,,,,,
INTENTION_LUXE,Chateaux_General,"château séminaire île-de-france",Phrase,,,,,,,,,,
INTENTION_LUXE,Chateaux_General,"location domaine séminaire",Phrase,,,,,,,,,,
INTENTION_LUXE,Chateaux_General,"château privatisable entreprise",Phrase,,,,,,,,,,
INTENTION_LUXE,Chateaux_General,"séminaire château luxe",Phrase,,,,,,,,,,
INTENTION_LUXE,Chateaux_General,"domaine séminaire résidentiel",Phrase,,,,,,,,,,
INTENTION_LUXE,Chateaux_General,"lieu prestige séminaire",Phrase,,,,,,,,,,
INTENTION_LUXE,Chateaux_General,[location château séminaire],Exact,,,,,,,,,,
INTENTION_LUXE,Chateaux_General,[château séminaire île-de-france],Exact,,,,,,,,,,
INTENTION_LUXE,Chateaux_General,,,4 Châteaux · Séminaire,Île-de-France & Oise,Privatisation Totale,Devis Gratuit 24h,50 à 280 Personnes,Collection exclusive de 4 domaines privatisables. 15 ans d'expertise événementielle.,De 50 à 280 collaborateurs. Clients CAC40. Lieux vérifiés et confidentiels.,Chateaux,Seminaire,https://selectchateaux.com/chateaux
INTENTION_LUXE,Chateaux_General,,,Châteaux Séminaire IDF,Privatisation Exclusive,Clients du CAC40,Lieux Vérifiés,500+ Événements,4 domaines d'exception en Île-de-France. Manoirs, abbayes et hôtels historiques.,98% clients satisfaits. Devis personnalisé et visite privée offerte sous 24h.,Location,Chateau,https://selectchateaux.com/chateaux
INTENTION_LUXE,Chateaux_General,,,Séminaire en Château,4 Lieux d'Exception,30-60min de Paris,Devis Express 24h,Conciergerie Dédiée,Accédez aux domaines les plus convoités d'Île-de-France. Privatisation garantie.,De l'abbaye au palace 5★. Hébergement premium et restauration gastronomique.,Domaine,IDF,https://selectchateaux.com/chateaux
